be	10648752216
have	5754389295
will	3440539955
can	3073206791
time	2414311459
do	2218717470
out	2033378231
up	1862945345
state	1695745092
see	1673283946
work	1367669438
well	1326129933
like	1231438932
use	1214893022
part	1159623233
general	1159537725
people	1133566023
even	1093465824
case	1038366593
number	1014218261
make	1010276413
act	990641568
man	963711765
water	941214646
long	910855454
order	908338930
section	901135577
court	888560989
right	864735202
own	852623480
found	852223201
company	821376634
service	783846924
house	777657443
power	776716996
place	773270385
know	772978319
down	767686088
present	767052813
back	755902078
take	755047335
school	716368915
still	701822496
last	697730329
second	693773525
form	665612593
point	664168380
total	658740126
report	641062416
think	630161105
end	628901417
get	621122736
set	621077859
research	613643280
say	613162140
come	609010553
go	600539098
control	600121535
value	586857818
interest	571958988
study	568813395
off	567681277
group	564942934
give	564587391
war	564012579
question	562015621
line	555803774
land	553496270
table	552234384
board	551724871
hand	550088330
need	547335948
action	543093236
course	534961999
effect	529054531
further	520182875
home	518602135
amount	511265136
subject	509495711
program	508457825
process	503632441
rate	501157911
name	499086900
find	494318633
change	487670610
best	481284909
side	477918084
air	463713254
head	462460630
cost	459679710
bill	459088375
put	456646621
figure	454268169
level	453036887
full	451694124
book	449908182
matter	448772967
light	446696683
let	446306881
body	445689827
free	443608021
evidence	442364849
better	442147959
type	439849670
support	430974480
white	424390463
commission	423508792
field	422562023
result	421443842
become	417361323
increase	413392304
age	412114955
want	409540407
low	408418787
trade	408321447
position	407321833
class	402505942
view	397877184
provide	396315191
show	393584959
district	393429386
party	391566839
care	387462166
tax	381757023
account	381664822
church	375843760
open	373158575
paper	369443925
force	369026100
purpose	368688738
help	363616041
term	361892608
date	358131656
price	357402001
short	357355204
true	356670846
room	355555990
market	355539641
look	353412364
bank	351584674
read	349432537
press	348904235
plan	346517893
major	346311116
mind	342480436
cause	340733479
surface	339646230
face	338930564
lord	335083174
near	334780255
experience	334733794
pay	334389616
reason	333945888
march	331927134
single	329660485
average	328713932
father	328196645
note	328048687
love	327586936
black	327127317
lower	325810635
model	318884739
test	317792074
ground	312262443
word	309419454
rule	308331455
except	305651341
practice	305554381
oil	302055620
include	295785342
believe	294164724
review	293798569
issue	292575817
respect	292154587
contract	292128046
clear	290573666
labor	290494335
size	289970802
sense	289698992
mean	288165246
plant	287375407
design	287306814
structure	286625803
project	285450115
range	284738512
call	283649010
mother	282756064
return	281636658
title	280498263
keep	279896988
space	279873612
record	279118876
close	278987929
complete	277683096
page	276995822
gas	274974871
letter	273092199
stock	273085676
condition	271190214
center	267087336
pressure	266956304
tell	265004118
fire	262313086
direct	262248011
saw	262229079
function	259878955
source	256085415
article	255547176
notice	255360829
character	248055925
supply	246826697
blood	246706592
felt	243095371
answer	241794414
approach	232450246
leave	231274510
feel	229672910
charge	229656145
reference	229342072
influence	228275182
chairman	228022406
motion	227712046
list	226876907
turn	225864524
appear	225225321
top	223234104
code	222508002
post	221927119
meet	219390733
front	218510629
staff	218395656
run	215527862
author	215239667
middle	215121311
fine	213206833
base	212970268
consider	212217474
equal	211673411
hope	211275421
cut	211122212
claim	209486957
cross	207660933
live	207373263
weight	206883442
lead	206741946
officer	205850744
earth	204964342
rest	204718663
fund	204656002
bring	204547719
trust	203932438
job	203719075
understand	202815252
hold	202292559
address	198706742
stage	196693102
fall	196383816
iron	196024782
play	196018324
ask	195872583
regard	194534517
flow	194286487
seem	193757587
soil	193604063
appropriate	193238008
demand	191922338
credit	191472219
object	190460451
sound	190133204
heat	189712790
judge	189108110
brown	188767678
risk	188408452
box	188304079
exchange	188042275
produce	188028643
station	187944417
institute	187052687
spirit	186426492
site	185721574
green	185667546
minister	185639545
survey	184494351
determine	184132158
distance	182516951
steel	182091200
voice	180886876
require	179727770
scale	179657063
culture	179020291
portion	178761274
deal	178351014
share	177956941
aid	177455816
continue	177255595
mass	176530365
content	175168039
coal	174516401
progress	174430579
receive	174347198
contact	173580643
net	172819461
wall	172582282
farm	172389576
move	171801165
step	170982414
follow	170111526
benefit	170081162
measure	169718046
joint	168514046
apply	167938092
appeal	167860890
separate	167844440
balance	167794228
forward	166700726
doubt	166520214
master	166436280
transfer	165501414
key	165054852
fair	163769093
round	163163907
pass	161934259
lot	161838995
factor	160469346
police	160413415
machine	160405139
phase	159442058
request	159337307
stand	159325651
access	155960696
hear	155904044
spring	155794614
allow	155258087
sum	155240335
cover	155152230
write	154864212
fish	153869174
summer	153461838
ready	153298767
provision	153024405
grant	152844918
start	152763625
instance	152627648
